Entity,Code,Year,Share of adults who smoke or use tobacco (age-standardized)
Sao Tome and Principe,STP,2010,7.2
Sao Tome and Principe,STP,2015,7.5
Sao Tome and Principe,STP,2020,7.9
Sao Tome and Principe,STP,2022,8.1
Saudi Arabia,SAU,2000,14.4
Saudi Arabia,SAU,2005,14.5
Saudi Arabia,SAU,2007,14.5
Saudi Arabia,SAU,2010,14.6
Saudi Arabia,SAU,2015,14.5
Saudi Arabia,SAU,2020,14.6
Saudi Arabia,SAU,2022,14.7
Senegal,SEN,2000,15.6
Senegal,SEN,2005,12.5
Senegal,SEN,2007,11.4
Senegal,SEN,2010,10
Senegal,SEN,2015,8.1
Senegal,SEN,2020,6.5
Senegal,SEN,2022,5.9
Serbia,SRB,2000,41.8
Serbia,SRB,2005,41.2
Serbia,SRB,2007,40.9
Serbia,SRB,2010,40.6
Serbia,SRB,2015,40.1
Serbia,SRB,2020,39.8
Serbia,SRB,2022,39.6
Seychelles,SYC,2000,27.5
Seychelles,SYC,2005,24.7
Seychelles,SYC,2007,23.7
Seychelles,SYC,2010,22.3
Seychelles,SYC,2015,20.3
Seychelles,SYC,2020,18.6
Seychelles,SYC,2022,17.8
Sierra Leone,SLE,2000,44.7
Sierra Leone,SLE,2005,33.6
Sierra Leone,SLE,2007,29.9
Sierra Leone,SLE,2010,25.2
Sierra Leone,SLE,2015,18.8
Sierra Leone,SLE,2020,14.1
Sierra Leone,SLE,2022,12.7
Singapore,SGP,2000,17.1
Singapore,SGP,2005,16.2
Singapore,SGP,2007,16
Singapore,SGP,2010,15.5
Singapore,SGP,2015,14.9
Singapore,SGP,2020,14.3
Singapore,SGP,2022,14.1
Slovakia,SVK,2000,32.8
Slovakia,SVK,2005,31.8
Slovakia,SVK,2007,31.5
Slovakia,SVK,2010,31
Slovakia,SVK,2015,30.3
Slovakia,SVK,2020,29.7
Slovakia,SVK,2022,29.6
Slovenia,SVN,2000,24.1
Slovenia,SVN,2005,23.4
Slovenia,SVN,2007,23.1
Slovenia,SVN,2010,22.7
Slovenia,SVN,2015,21.9
Slovenia,SVN,2020,21.4
Slovenia,SVN,2022,21.2
Solomon Islands,SLB,2000,42.7
Solomon Islands,SLB,2005,41.5
Solomon Islands,SLB,2007,41.1
Solomon Islands,SLB,2010,40.5
Solomon Islands,SLB,2015,39.5
Solomon Islands,SLB,2020,38.9
Solomon Islands,SLB,2022,38.6
South Africa,ZAF,2000,22.6
South Africa,ZAF,2005,22.8
South Africa,ZAF,2007,22.8
South Africa,ZAF,2010,23
South Africa,ZAF,2015,23.2
South Africa,ZAF,2020,23.4
South Africa,ZAF,2022,23.5
South America,OWID_SAM,2000,25.380028
South America,OWID_SAM,2005,22.028654
South America,OWID_SAM,2007,20.848484
South America,OWID_SAM,2010,19.231466
South America,OWID_SAM,2015,16.822723
South America,OWID_SAM,2020,14.7579365
South America,OWID_SAM,2022,14.040584
South Korea,KOR,2000,35.5
South Korea,KOR,2005,30.9
South Korea,KOR,2007,29.4
South Korea,KOR,2010,27
South Korea,KOR,2015,23.6
South Korea,KOR,2020,20.6
South Korea,KOR,2022,19.6
Spain,ESP,2000,34.7
Spain,ESP,2005,33.1
Spain,ESP,2007,32.4
Spain,ESP,2010,31.5
Spain,ESP,2015,30
Spain,ESP,2020,28.5
Spain,ESP,2022,28.1
Sri Lanka,LKA,2000,29.4
Sri Lanka,LKA,2005,27
Sri Lanka,LKA,2007,26
Sri Lanka,LKA,2010,24.8
Sri Lanka,LKA,2015,23.1
Sri Lanka,LKA,2020,21.7
Sri Lanka,LKA,2022,21.3
Sweden,SWE,2000,49.5
Sweden,SWE,2005,40.8
Sweden,SWE,2007,38.1
Sweden,SWE,2010,33.9
Sweden,SWE,2015,28.2
Sweden,SWE,2020,23.5
Sweden,SWE,2022,21.8
Switzerland,CHE,2000,30.4
Switzerland,CHE,2005,28.6
Switzerland,CHE,2007,27.9
Switzerland,CHE,2010,26.9
Switzerland,CHE,2015,25.6
Switzerland,CHE,2020,24.1
Switzerland,CHE,2022,23.6
Tanzania,TZA,2000,29.5
Tanzania,TZA,2005,21.9
Tanzania,TZA,2007,19.5
Tanzania,TZA,2010,16.7
Tanzania,TZA,2015,12.6
Tanzania,TZA,2020,9.6
Tanzania,TZA,2022,8.6
Thailand,THA,2000,27.1
Thailand,THA,2005,24.7
Thailand,THA,2007,23.7
Thailand,THA,2010,22.6
Thailand,THA,2015,20.8
Thailand,THA,2020,19
Thailand,THA,2022,18.4
Togo,TGO,2000,15.3
Togo,TGO,2005,12.3
Togo,TGO,2007,11.3
Togo,TGO,2010,10
Togo,TGO,2015,8.2
Togo,TGO,2020,6.8
Togo,TGO,2022,6.3
Tonga,TON,2000,33
Tonga,TON,2005,32.7
Tonga,TON,2007,32.6
Tonga,TON,2010,32.5
Tonga,TON,2015,32.3
Tonga,TON,2020,32.2
Tonga,TON,2022,32
Tunisia,TUN,2000,32.9
Tunisia,TUN,2005,30.9
Tunisia,TUN,2007,30.1
Tunisia,TUN,2010,29
Tunisia,TUN,2015,27.3
Tunisia,TUN,2020,25.7
Tunisia,TUN,2022,25.2
Turkey,TUR,2000,32.8
Turkey,TUR,2005,32.3
Turkey,TUR,2007,31.9
Turkey,TUR,2010,31.8
Turkey,TUR,2015,31.5
Turkey,TUR,2020,31.2
Turkey,TUR,2022,31.1
Turkmenistan,TKM,2000,14.4
Turkmenistan,TKM,2005,11.6
Turkmenistan,TKM,2007,10.7
Turkmenistan,TKM,2010,9.4
Turkmenistan,TKM,2015,7.7
Turkmenistan,TKM,2020,6.3
Turkmenistan,TKM,2022,5.8
Tuvalu,TUV,2000,47.8
Tuvalu,TUV,2005,44.2
Tuvalu,TUV,2007,42.8
Tuvalu,TUV,2010,41.1
Tuvalu,TUV,2015,38.1
Tuvalu,TUV,2020,35.2
Tuvalu,TUV,2022,34.3
Uganda,UGA,2000,24.6
Uganda,UGA,2005,19.1
Uganda,UGA,2007,17.3
Uganda,UGA,2010,14.8
Uganda,UGA,2015,11.6
Uganda,UGA,2020,9.1
Uganda,UGA,2022,8.3
Ukraine,UKR,2000,42
Ukraine,UKR,2005,37.3
Ukraine,UKR,2007,35.6
Ukraine,UKR,2010,33.1
Ukraine,UKR,2015,29.3
Ukraine,UKR,2020,26.1
Ukraine,UKR,2022,24.9
United Arab Emirates,ARE,2000,16.9
United Arab Emirates,ARE,2005,14.7
United Arab Emirates,ARE,2007,13.9
United Arab Emirates,ARE,2010,12.7
United Arab Emirates,ARE,2015,11.2
United Arab Emirates,ARE,2020,9.9
United Arab Emirates,ARE,2022,9.4
United Kingdom,GBR,2000,38.2
United Kingdom,GBR,2005,30.3
United Kingdom,GBR,2007,27.7
United Kingdom,GBR,2010,24.2
United Kingdom,GBR,2015,19.2
United Kingdom,GBR,2020,15.3
United Kingdom,GBR,2022,14
United States,USA,2000,38.6
United States,USA,2005,31.9
United States,USA,2007,29.7
United States,USA,2010,26.5
United States,USA,2015,22
United States,USA,2020,18.3
United States,USA,2022,17
Upper-middle-income countries,OWID_UMC,2000,27.65434
Upper-middle-income countries,OWID_UMC,2005,26.007284
Upper-middle-income countries,OWID_UMC,2007,25.415966
Upper-middle-income countries,OWID_UMC,2010,24.621452
Upper-middle-income countries,OWID_UMC,2015,23.446585
Upper-middle-income countries,OWID_UMC,2020,22.311852
Upper-middle-income countries,OWID_UMC,2022,21.92454
Uruguay,URY,2000,34.5
Uruguay,URY,2005,30.8
Uruguay,URY,2007,29.2
Uruguay,URY,2010,27.1
Uruguay,URY,2015,24
Uruguay,URY,2020,21.3
Uruguay,URY,2022,20.3
Uzbekistan,UZB,2000,28.9
Uzbekistan,UZB,2005,25.6
Uzbekistan,UZB,2007,24.3
Uzbekistan,UZB,2010,22.4
Uzbekistan,UZB,2015,19.8
Uzbekistan,UZB,2020,17.7
Uzbekistan,UZB,2022,17
Vanuatu,VUT,2000,27.4
Vanuatu,VUT,2005,26.7
Vanuatu,VUT,2007,26.4
Vanuatu,VUT,2010,26
Vanuatu,VUT,2015,25.3
Vanuatu,VUT,2020,25.1
Vanuatu,VUT,2022,25
Vietnam,VNM,2000,31.9
Vietnam,VNM,2005,29.1
Vietnam,VNM,2007,27.8
Vietnam,VNM,2010,26.5
Vietnam,VNM,2015,24.2
Vietnam,VNM,2020,22.4
Vietnam,VNM,2022,21.7
World,OWID_WRL,2000,34.824158
World,OWID_WRL,2005,30.928778
World,OWID_WRL,2007,29.454727
World,OWID_WRL,2010,27.475172
World,OWID_WRL,2015,24.533497
World,OWID_WRL,2020,22.019377
World,OWID_WRL,2022,21.132626
Zambia,ZMB,2000,19.8
Zambia,ZMB,2005,18.3
Zambia,ZMB,2007,17.8
Zambia,ZMB,2010,17
Zambia,ZMB,2015,15.9
Zambia,ZMB,2020,14.9
Zambia,ZMB,2022,14.6
Zimbabwe,ZWE,2000,21.3
Zimbabwe,ZWE,2005,18.4
Zimbabwe,ZWE,2007,17.3
Zimbabwe,ZWE,2010,15.9
Zimbabwe,ZWE,2015,13.9
Zimbabwe,ZWE,2020,12.2
Zimbabwe,ZWE,2022,11.6
